"","12","7","13","19","5","11","17","23","4","10","16","22"
"try",7,7,7,7,1,1,1,1,2,2,2,2
"t1",103,103,103,103,145,145,145,145,143,143,143,143
"t2",134,134,134,134,101,101,101,101,104,104,104,104
"t3",16,16,16,16,17,17,17,17,13,13,13,13
"Rich",101,101,101,101,110,110,110,110,115,115,115,115
"G12",0.146666666666667,0.146666666666667,0.146666666666667,0.146666666666667,0.125,0.125,0.125,0.125,0.0921052631578947,0.0921052631578947,0.0921052631578947,0.0921052631578947
"H12",0.157142857142857,0.157142857142857,0.157142857142857,0.157142857142857,0.159420289855073,0.159420289855073,0.159420289855073,0.159420289855073,0.152777777777778,0.152777777777778,0.152777777777778,0.152777777777778
"GH",0.146666666666667,0.146666666666667,0.146666666666667,0.146666666666667,0.125,0.125,0.125,0.125,0.0921052631578947,0.0921052631578947,0.0921052631578947,0.0921052631578947
"NoChim",0.963294783584639,0.963294783584639,0.963294783584639,0.963294783584639,0.968805420027623,0.968805420027623,0.968805420027623,0.968805420027623,0.967828791226778,0.967828791226778,0.967828791226778,0.967828791226778
"M12",77.3857289710173,77.3857289710173,77.3857289710173,77.3857289710173,0,0,0,0,75.0737909535086,75.0737909535086,75.0737909535086,75.0737909535086
"BootClass",85.340364394007,85.340364394007,85.340364394007,85.340364394007,86.0221602723871,86.0221602723871,86.0221602723871,86.0221602723871,85.4649182115936,85.4649182115936,85.4649182115936,85.4649182115936
"BootGenus",74.2601837532588,74.2601837532588,74.2601837532588,74.2601837532588,75.0737909535086,75.0737909535086,75.0737909535086,75.0737909535086,73.4267074955982,73.4267074955982,73.4267074955982,73.4267074955982
"input",126072,126072,126072,126072,156497,156497,156497,156497,156497,156497,156497,156497
"filtered",105792,105792,105792,105792,125944,125944,125944,125944,125737,125737,125737,125737
"denoisedF",105477,105477,105477,105477,125194,125194,125194,125194,124886,124886,124886,124886
"denoisedR",105423,105423,105423,105423,125141,125141,125141,125141,125031,125031,125031,125031
"merged",102465,102465,102465,102465,122361,122361,122361,122361,122190,122190,122190,122190
"nonchim",98704,98704,98704,98704,118544,118544,118544,118544,118259,118259,118259,118259
